prompt,text,rejected_text
Re: [閒聊] 白蓮教的教主是怎麼讓信眾義無反顧啊？,"※ 引述《yniori (偉恩咖肥)》之銘言：
: 如題
: 這是白蓮教的老大
: https://i.imgur.com/uime7EE.jpg
: 這個是白蓮教信眾
: https://i.imgur.com/vyc0w1m.jpg
: 那白蓮教的教主到底是怎麼讓這些白蓮教信眾幫他敲鑼打鼓宣傳造勢
: 甚至讓這些信眾義無反顧的拼一次啊？
講真的答案，

就是你不願意面對的事實，

有人回了正解，你也不敢看解答。

別說白蓮教了、義和拳、黃巾賊…..

這些已經成為有信眾的集團，

已經跟一般的盜匪或妄圖篡位的反賊不同，

這些多半不像一般盜匪謀財為核心，
也不像反賊有規劃奪權，

基本上都是被國家執政失敗所迫，
因為被執政者迫害到只剩下信仰可以撫慰心靈，

所以這些人特別痛恨那種協助暴政，
幫皇朝護航說皇朝好棒棒、
顛倒是非把金玉其外敗絮其中的狗官吹成好官，
的無恥之徒。

但我臆測，
你其實不希望有人回答出真正的答案，
你只是希望接下來的回文有人可以發酸文。
-----
Sent from JPTT on my iPhone

--
",I don't know what you are talking about.
Re: [新聞] 市場情緒悲觀，A股遊戲股早盤續挫,"※ 引述 《hui000807 (Santa)》 之銘言：
: 　
: https://i.imgur.com/zt1QuoP.jpg
: 　
: 最白癡的是這群人同一套作法已經在過去三年把自己國家經濟玩死了，然後他們腦殘到好
像
: 不知道問題出在哪裡一樣，每一次都搞一樣的東西
: 　
: 論本質，他們的執政黨其實腦袋就沒有法治 自由 市場機制這一套，一切就是想到哪做到
哪
: ，跟狗咬尾巴一樣愚蠢，然後決策同溫層厚到不行，腦袋正常的中國人也已經沒辦法影響
維
: 尼決策圈的意見了


我覺得最好笑的是，中國各大論壇一堆自稱玩家的支持控管，如果你反對控管就說你一定是
炒股的。


他們一直有一種幻想是，如果今天遊戲公司不做課金手遊，就會改卷玩法，然後就能產出一
堆他們想要的精品3A了。


問題3A大作製作時間這麼長，短的兩三年（兩三年可能還是ubi那種罐頭開放世界才能做這
麼快。不然就是EA那種球類3A，每年換個名單就當新遊戲賣。），長的十年以上都大有人在
，像GTA6距離GTA5就超過十年了。


我們取個中間值，算3A遊戲做個5、6年好了，你能保證5、6年內中國不會出台任何打擊單機
3A的政策嗎？


股票某種程度上就是反應市場的信心，還有市場投資的熱絡程度，現在投資遊戲的人對這產
業沒有信心，這幫自稱玩家的竟然叫好，我真不知道他們在想什麼？


今天中國遊戲市場會那麼畸形也是他們造成的，像遊戲主機禁令就持續14年之久了，從2000
年-2014年，差不多是主機界最輝煌的年代了。


那個年代，單機遊戲主要市場就是主機，沒有主機了，當然只能去做PC遊戲，然後PC單機也
一堆被中國盜版殺死，所以就做免費遊戲，這些免費遊戲的收費機制又被搬到手機上，形成
今天的中國遊戲市場。


然後中國除了政策問題，他們的玩家普遍也沒什麼錢啦。買台遊戲主機可能都超過他們很多
人半個月的收入了。之前Party animals一堆中國人洗負評，說售價很貴，我看了一下價格
，400多塊台幣，嗯……這樣也貴？


他們的單機玩家也是出張嘴居多啦，每個都說要支持國產單機，結果幾百塊都花不起。之前
還有個調查說願意花多少買黑悟空，我看到一堆都講100多人民幣而已。


政策+市場問題，那當然只剩課金遊戲活得好啊。自己把自己的市場搞成鹽鹼地，再來怪為
什麼種不出莊稼，不是很好笑嗎？


還有一堆人講倒逼精品，倒逼出海，這招這麼有用，趕快把中超廢了，國足全部趕去五大聯
賽，想必國足一定能起飛。

--
",I don't know what you are talking about.
[閒聊] 燈做錯了啥啊,"小妹我剛看買夠

祥子找了燈組團

非常喜歡燈的詞 邀請燈當主唱

然後live 完後 上一秒很感動

下一秒 看了網路評論 馬上變臉

之後就不來練習了 一來團練就是宣告退團

還噴燈怎不滾去練習

阿燈做錯了啥ㄚ 又沒有抓蟲蟲給祥子

燈啥都沒錯吧 怎這麼突然

我很好奇

--
如果有一天回到原來的世界
我一定會想辦法再一次跟你相遇
然後再喜歡上你


--
",I don't know what you are talking about.
[23秋] 黑暗集會 25 END,"

夜宵跟詠子到螢多朗家說明目前的狀況 順便裝了監視器

單就螢多朗的房間就裝了這麼多 特別是床周圍

到底多想看螢多朗睡覺www

詠子：我也是不得已啊！

放屁 你那是饞她的身子.jpg



夜宵不知道是哪來的靈感

想了一套在京都內製造詛咒 再透過紙人轉移到蘿莉控神身上的方法

以此削弱其力量 增加己方勝算

但布置詛咒前還得跟當地的惡靈們戰鬥 光想都覺得累w



愛依期待著螢多朗他們的探望 那晚就做了惡夢

本來在教堂穿得漂漂亮亮的

發現阿姨早就去世後突然場景大變

衣服被鬼手撕爛 換成白無垢

然後遭遇一連串可怕的事 最後聽到蘿莉控神的預告

蘿莉控神真的很惡質 重婚又喜歡娶小妹妹就算了

幹嘛要把人家搞成那樣？

一看就是個熱衷物化女性的收集癖重症變態= =



夜宵她們去回收畢業生時也去找H城址小姐姐幫忙

她的能力是發動詛咒轉移的關鍵

姐姐說

她說的是哪方面的朋友？ 想找花魁當酒友嗎？



準備萬全後 夜宵三人前往京都！

目前動畫做到這裡

要出二期的話至少也得等到漫畫弒神完吧

--

我老婆的小屁屁有夠讚!

--
",I don't know what you are talking about.
[閒聊] 用單詞作為人名的感覺,"

最近看某部不錯的作品，

突然有點好奇

若作者用某一個國家的單字作為人名，那麼對那個國家的觀眾來說，

看到時會有怎樣的感覺?



舉例來說，

若藏馬名字改為花朵、趙靈兒改為鐵、李逍遙名字改為天國、

林月如改為凍結。

那麼該國讀者聽起來可能像是: ""天國究竟喜歡凍結，還是喜歡鐵?""



猜測一下，

若該國也有人取這種名字，那也許聽起來ok?


像是有人姓劉、名字叫劉鐵之類?

陳凍結? 林天國?


--
",I don't know what you are talking about.
[FF14] 好狐終於把FF14 6.0跑完了 ,"如題


好狐在昨天終於把6.0跑完了

每次我都會去找關鍵片段看好狐的反應

這次這段就是

1.走階梯 看黑影

2.阿梅登場

3.阿梅嗆光呆

4.基友登場

5.終末之戰

6.基友互A


每段好狐的反應都很符合我的期待XDD

尤其是嗆光呆：我...看過哦

那段 好狐一整個：蛤？？？這是在炫耀？？？



最後終末之戰 BGM響起時真的看幾次都雞皮疙瘩

打完接到基友互毆 記得自己玩那時真的全身熱起來 超棒 畫面也超美

基友雖然整部戲都很雞掰

但最後的最後....雖然也沒洗白 但最後一戰是真的對他沒那麼反感了

只是被放置在那真的很哭w




同場加映

5.0結尾 阿梅QQ


5.X結尾 阿梅QQ
光呆戰



只能說阿梅真的塑造得太棒了.....

5.0結尾那段我看了不下50次

「那麼　給我記住了　我們.....確實存在過。」


啊啊啊啊啊啊





--
",I don't know what you are talking about.
[Vtub] TanZ Valentine Party in Taiwan ,"
從未忘記過台灣觀眾帶來的溫暖

實現與你們的約定

一起度過這場2024年的情人節派對



用獨一無二的歌聲閃耀演唱的寶石系2.5次元Vsinger —TanZ

將帶著『麻辣燙』的夥伴們「メルユ（Meruyu）」及「まゆる（Mayuru）」

來台灣舉辦與大家約定好的現場演唱會囉！


TanZ's Valentine Party in Taiwan

麻辣燙 參上！



期待與你相見，共度一場永生難忘的快樂情人節♡



 節 目 內 容

日　　期｜2024/2/18(SUN)　

午場：整隊11:30 / 開始12:30 (GMT +8)

晚場：整隊17:00 / 開始18:00 (GMT +8)

地　　點｜Corner House角落文創展演空間

（115台北市南港區忠孝東路六段21號1樓）

主辦單位｜黑子娛樂有限公司

票　　價｜S（附贈品） NT$1,200 / A（一般入場） NT$800

購　　票｜KKTIX

啟　　售｜2023/12/27 (三) 中午12:00

■ 若有任何問題，歡迎留言或是透過電子郵件[email protected]與主辦單位聯絡。

■ 有關本次演出的最新消息，都將於主辦單位X（原Twitter）頁面發布


演 出 人 員

TanZ
以聽過之後就會讓人著迷的獨特聲線與極具魅力的演唱表現擄獲許多粉絲的心，寶石系2.5
次元Vsinger。不論是可愛曲風或是帥氣場面都交給我吧！就像Tanzanite（坦尚石）一樣會
隨著當下環境顯現不同的顏色與光輝，大家一定會迷上如此變化千萬的她！



メルユ（Meruyu）
往來與現實世界與虛擬世界的2.5次元Vsinger！主打以「超高音質、高品質、高畫質」所進
行的直播，也很積極地參與各種Live活動！相信自己的歌聲能夠傳達到所有人的內心深處！



まゆる（Mayuru）
努力準備Vtuber出道的唱見歌手！雖然有著可愛的角色形象，但能用帥氣歌聲唱出各種風格
的歌曲！從瀟灑華麗的流行歌曲到經典動漫歌曲都能以她的風格進行詮釋，用獨一無二的歌
聲風靡全場。



購票方式請直接參考原文




講真的,自從發現TanZ,到一路上看著她成長至今,雖然時間不長但每天都令我興奮不已
雖然被黃牛搞到瑟瑟發抖了我還是希望台灣人能真的把500人的場子塞爆
如果500人份票真的賣得完,我坐在場外吃便當聽漏音我也很開心啦


因此我這邊呼籲主辦方: 黑子娛樂有限公司

請做好黃牛大量幽靈帳號收購票券的風險管理,以及清票並再販三販的售票流程要做好
拜託了


--
",I don't know what you are talking about.
[Vtub] vtuber樂隊,"由

笹木（貝斯）

西西（鍵盤）

葉子（鼓）

綠仙（吉他）

組成的解散gig

雖然每次都解散 但時不時會再結成

這次也在にじさんじフェス上演奏 孤獨搖滾的『青春コンプレックス』

但evergreen nerd呢？ 怎麼一次就沒有惹？

有西恰？


--
",I don't know what you are talking about.
[蔚藍] C103車站角色看板,"
国際展示場駅のブルアカ広告、コミケ仕様になってた



--

--
",I don't know what you are talking about.
[檔案] 學生自製的聖誕樹,"等等就是來拆禮物環節

這繪師前幾天還有畫航線跟妮基，相比之下檔案的學生都像貧乳

-----
Sent from JPTT on my Samsung SM-A3460.

--
",I don't know what you are talking about.
[閒聊] 天竺鼠車車快閃店～等身可坐馬鈴薯,"到今晚八點結束，在捷運中山跟雙連之間的0% TAIPEI（赤峰街41 巷9 號）

這次也是到快結束才去的（汗）


主題是駕訓班篇，商品都是日貨、種類沒有太多，價格的部分感覺偏高，

不過有日本製的帽T，紙製品或資料夾也幾乎是日製，

還有幾樣商品是臺灣製（！）的讓我有點驚訝。


跟以往快閃店（華山、大直ATT）最大的差別就是之前等比馬鈴薯是充氣的，

這次是可坐式的！

從駕駛座看出去就是這樣～


鼠車介紹

兩張告示牌可以注意一下文字～



店面不大、到處拍店員也不會阻止你，但我看商品也看了滿久的。

因為一個人去店員還很好心的幫我拍坐在駕駛座的照片（照片就不放了），

個人收了一隻駕訓班的西羅摩大娃娃（還沒拍），大娃娃大概是商品裡匯差最少的了。


消費滿額盲抽特典徽章，不累贈、一人/天/顆，可惜抽中的是阿比不是我推西羅摩。


有快閃店可逛還是很開心啦～

我問過應該不會提早收，所以今天下午到晚上想要衝一波的人也還來得及。

大概就是這樣～

x

--
",I don't know what you are talking about.
[情報] 傳奇四葉草 Steam版,"
？？？

這東西能上Steam的嗎？

這樣是不是都和諧光了呀？
----
Sent from BePTT

--
",I don't know what you are talking about.
[新聞]中國擬推新規限制網遊 騰訊與荷蘭大股東慘,"
中國擬推新規限制線上遊戲 騰訊與荷蘭大股東Prosus慘跌逾12％

中國大型遊戲公司網易股價上週五崩跌25％，另一家遊戲巨頭騰訊股價上周五大跌12.35
％收274港元。（圖片來源／flickr）

上周五（12月22日），中國發布網路游戏管理辦法草案，其中一些新措施限制玩家的線上
支出或玩線上遊戲的時間，全球電玩遊戲股應聲倒地。

網易股價上週五崩跌25％

綜合外電報導，中國大型遊戲公司網易股價上周五崩跌25％，中國科技巨頭、也是中國遊
戲巨頭的騰訊股價同一天大跌12.35％收274港元，與2021年2月份創下的歷史高峰相比，
已經崩跌61％。

騰訊市值單日蒸發460億美元，創下自2022年10月以來的最大單日跌幅，本周一（12月25
日）為聖誕節，港股休市一天。

在荷蘭阿姆斯特丹，持有大量騰訊股票的Prosus NV股價22日盤中重挫20％，市值一度蒸
發155億歐元（約171億美元），收盤大跌13.38％至25.63歐元，騰訊投資的育碧
(Ubisoft Entertainment)在巴黎的股價上周五盤中一度大跌8％，騰訊最大股東兼母公司
南非的Naspers當天收盤暴跌17.7％。

在美國上市的中國股票納斯達克金龍中國指數下跌2.4％，電玩遊戲製造商網易ADR上周五
重挫16.78美元或16.07％，收87.64美元，美國電玩同業Unity Software當天下跌1.26％
至39.21美元。

騰訊市值單日蒸發460億美元

Equita SIM分析師Gianmarco Bonacina的研究報告寫道，如果新法規真的實施，可能會導
致玩家貨幣化程度降低，打擊中國營運的遊戲公司收入和利潤率，而中國是全球最大的遊
戲市場。

中國遊戲監管機關上周五發布新規則草案，用意在打擊玩家在網路遊戲上花費更多金錢或
時間的行為，當局對頻繁登入和購買遊戲道具的行為將採取一系列限制措施，引發投資人
擔憂全球最大行動遊戲領域即將次受到監管打擊。

新規草案的提議內容包括限制使用者的遊戲內消費。相關提議還要求網路遊戲直播不得出
現未成年人打賞情況，並禁止公司向未成年人提供隨機抽取服務。

網遊公司不得設置每日登錄獎勵

根據國家新聞出版署發佈的草案徵求意見稿，網路遊戲公司也不得設置可能鼓勵用戶線上
花費更多時間或金錢的獎勵，其中包括對每日登錄的獎勵。

根據中國官媒《國家新聞出版署》上周六報導，中國監管機關將根據相關政府部門、企業
和用戶的回饋，考慮調整規則草案，但未提供更多細節。

《彭博資訊》（Bloomberg Intelligence）分析師戴維斯 (John Davies)表示，Prosus股
價暴跌，顯示該公司對監管變化的反應很敏感。他表示，Prosus持有約25％騰訊股票，「
給其他投資組合蒙上陰影，而且似乎不可能很快改變」。

Prosus股價表現與騰訊息息相關，因為Prosus的75％市值由這家中國企業集團貢獻，這家
荷蘭公司的科技股投資組合當中，騰訊持股占比最大。

荷蘭公司Prosus持有約25％的騰訊股票

一年多來，Prosus陸陸續續減碼騰訊持股，為回購計畫提供資金，該公司本月稍早表示，
騰訊持股比例已降至25％以下。

在約翰尼斯堡，南非股市FTSE/JSE指數上周五收盤下跌 1.8％，其中Naspers和Prosus股
價大跌，對市場的拖累最大。

同時，中國股市今年的頹勢變得越來越糟，經過上周五的下跌，使中國金龍指數2023年跌
幅加深至8％左右，遠遠落後美股那斯達克100指數同期54％的漲幅。

GAMA資產管理公司全球宏觀基金經理德梅洛（Rajeev De Mello）表示，「中國新規草案
恰如其分，幫市場對中國股市今年表現特別失望的情緒劃下句點，美國和中國股市之間差
距之大，令人震驚。」

搞死本企還趕跑外資,經濟不爛也難.

--
",I don't know what you are talking about.
Re: [閒聊] 織田信長有想要廢除日本天皇?,"
有個問題

人妻控搞個挾天子以令諸侯
就被後世罵到翻

雖然後面做同樣事的也不少就是了

日本當時沒其他人去罵那些幕府將軍嗎？

也沒人發動勤王嗎？

--
",I don't know what you are talking about.
[閒聊] GTA5 原始碼已被洩露,"
有三種組合:

3.3 gigs 只有原始碼
17 gigs 原始碼+部分資源檔
1 TB, 原始碼+全部資源檔


洩漏內容截圖


另外還有惡霸魯尼2的部分資料，以及 GTA VI 開發代號: Project Americas

--
",I don't know what you are talking about.
[蔚藍] 夏萊收到了一堆禮物,"
寄給夏萊的禮物有點太多了希望老師能親自確認一下

為師今日恐將...

--
",I don't know what you are talking about.
[閒聊] 台灣為何聖誕節炒不起來？,"乳蹄

今天是聖誕節


在日本是肯德基的大日

ツイコミ(仮)@nanairo_perikan


排隊買炸雞成為一種風氣


聖誕節也是情侶的重要日子


能夠和心儀對象一起渡過

拿到聖誕禮物

往往被視為是關係推進的一大步


台灣雖然店家會應景換上聖誕裝飾

店內可能也會播放相關音樂

整體來說過聖誕節的氣氛非常淡

該說是普遍沒有那樣的氛圍嗎？

零星活動會有，但應該還稱的不上炒作成功

為何聖誕節在台灣炒不太起來？

--

                     ◣ ◢
                     =. .=              http://i.imgur.com/SeEC2jX.jpg
                       ◣

貓貓仰臥起坐 <3

--
",I don't know what you are talking about.
Re: [閒聊] 白蓮教的教主是怎麼讓信眾義無反顧啊？,"義和團自認自己不是白蓮教的

《神助拳歌》
神助拳、義和團，只因鬼子鬧中原。
勸奉教、自信天，不信神佛忘祖先。
男不倫、女行姦，鬼孩俱是子母產。
如不信、仔細觀，鬼子眼珠皆發藍。
天無雨、地焦旱，全是教堂遮住天。
神發怒、仙發怨，一同下山把道傳。
非是邪、非白蓮，念咒語，法真言。
升黃表、敬香煙，請下各洞諸神仙。
仙出洞、神下山，附著人體把拳玩。
兵法藝、都學全，平定鬼子不費難。
拆鐵道、拔線杆，緊急毀壞火輪船。
大法國、心膽寒，英美德俄盡消然。
洋鬼子、盡除完，大清一統靖江山。
弟子同心苦用功，遍地草木化成兵；
愚蒙之體仙人藝，定滅洋人一掃平。

至於白蓮教造反最有名的

應該是韓山童-韓林兒-朱元璋吧

--
",I don't know what you are talking about.
[奶子] 聖誕快樂,"昨天聖誕夜今天聖誕節 每推10p發一百個 順便推個親友
繪師資訊
幹剛剛被APP陰到 不小心發錯版 秒刪==

--
聖誕限定 @pilason._
--
",I don't know what you are talking about.
[閒聊] 劇場版間諜家家酒 票房12億突破,"
公開3日間で興行収入12億円突破
この冬、No.1のロケットスタートで幕開け！

映画の満足度は93.6％を記録
『劇場版SPY_FAMILY  CODE: White』
大ヒット上映中

世界の命運を賭けた
偽家族の極秘任務が始まる──


上映3天目前突破12億
看最後能多少了

--
",I don't know what you are talking about.
[閒聊] 五條悟的虛式只能算特效大於實用吧？,"回頭看五條悟的虛式

其實戰力很差

就是畫面好看而已

真正的戰績只有打死甚爾跟魔虛羅

打花御，打宿儺

都只有打傷而已

之後還是活蹦亂跳的

至於魔虛羅

當初宿儺隨便切幾下就秒殺了

大家怎麼看


--
",I don't know what you are talking about.
[閒聊] My Go!!!!!算是輕百合作品嗎?,"My Go!!!!!算是輕百合嗎?

我怎麼感覺 素質姊會跟燈寶做愛

爽世會跟祥子做愛

睦寶... 被爽世拒絕了

那只能 睦寶x祥子x爽世 這樣3P了吧

愛音:那我呢?

如果是重百合 那是不是超越少女革命這種重百合大作?

--
→ Eriri: ...哈佛校產也才三百多億鎂 哪個學校一年能募一百多億鎂 05/05 04:30
→ c*typort: Harvard Received $1.4 Billion In Donations Last Year 05/05 06:56
→ c*typort: 別鬧笑話了..好幾間大學年年募到百億鎂..前10都超過500 05/05 06:58
→ c*typort: 缺錢的都是公立大學..你有看過藤校100/200人大班制嗎?? 05/05 06:59
→ c*typort: 募到的錢越多..花的也越多好嗎 05/05 07:02
→ veru: B 是十億美元吧 說百億美元也太誇張了 05/05 08:22

--
",I don't know what you are talking about.
[Vtub] Nerou 烏龜破產了，負債1.5億美,"【【Neuro】V公子大气！负债1.5亿美金送出500万个Fumo！】 https://www.bilibili.com/
video/BV1KC4y1D7mA/?share_source=copy_web&vd_source=964ec753fa8c0d0d36cc70d87d06
97b5

neuro：OK Vedal，你現在有兩個選擇，搶銀行，或是向chat乞討。

烏龜：或者……破Twitch送禮的歷史紀錄？

--
",I don't know what you are talking about.
[HOLO] 所以你齁昨晚誰沒開台？,"
昨天平安夜啦

但對日本來說也就算是聖誕節了

這麼美好的日子

我想你齁的女V

應該都很想跟自己的粉絲一起過

不過也可能有重要的事無法開台



想問一下昨晚誰沒有開台？

也沒要幹嘛單純想知道而已

-----
Sent from JPTT on my Samsung SM-G9910.

--


--
",I don't know what you are talking about.
Re: [閒聊] 現在美軍還能造船像下水餃嗎？,"之前記得看過某本雜誌說米國的海軍軍力大概是第二名到第七名的總和。
航空母艦群也是米國壓勝。

就目前來看米國就算什麼也不造純維護，10 年內大概也沒人可以單挑他的海軍。

以遊戲來說基本上都要給米國很大的 nerf ，或者強迫他只能有限制參戰。
比如某款 RTS 開局就是蘇聯登陸加州，就被吐說蘇聯根本沒法渡海，
太平洋海軍憑空消失了嗎？

HOI 4 來說，米國開場都會吃厭戰跟經濟蕭條，KR 模組直接弄米國二次內戰（不可避免）。
不然遊戲設計上來說米國有充沛的人力跟工廠，科技力也足夠，其他人玩屁。

說來說去大概只有外星人入侵或者深海棲艦出現才有可能全滅米國海軍。
畢竟米國海軍是唯一在二戰會造冰淇淋船的國家，戰時產能多到可以弄冰淇淋船。

雖然美軍整天抱怨募兵不足，但是真的打起來又是另一回事，911 跟二戰就證明
和平時期募不夠而已，有大義米國人還是願意從軍的。

造船業不足也是米國海軍整天抱怨，但我想大概只是成本太高問題，
畢竟當其他人還在苦於航空母艦戰鬥群建造跟維護費用很高的時候，
米國在研究雷射砲...?

--
",I don't know what you are talking about.
Re: [新聞] 市場情緒悲觀，A股遊戲股早盤續挫,"B站簡字慎入，影片推薦
網遊管理辦法 解析
央視下場暴打二次元，文娛分級遙不可及

逛B站有推薦看到的，難得的在中國少部分持不同意見，有指出中國ACG產業更嚴重的問題
，版號寒冬、分級制度、自我審查等，

在我看戲般的瀏覽算當中清醒的，不然B站10支影片有9支都在吹黨管的好甚至比例更高，
我也滿喜歡留個言反對一下看他們怎麼回我，有看到

做網遊的大小廠都去死，Steam單機活著就好(忘了黨的網路遊戲也包含Steam嗎)
管ACG的換腦袋了這次找懂遊戲的來(手辦新聞沒多久吧，怎麼上1秒就換腦袋好快阿)
嫌遊戲資金太多的，喜歡被黨父母管的

我認為ACG產業目前在中國就是韭菜，黨對ACG的定調就是：玩物喪志，即使看到有些出頭
，只不過是有打點好內部關係或有大人物喜歡。

--
",I don't know what you are talking about.
Re: [閒聊] 第一神拳138：華利教練是白癡嗎？,"
借題問一下
作者最近是不是開始看JoJo還是博人傳
這個拳王的造型是..？

--
",I don't know what you are talking about.
[閒聊] 愛音這種女孩兒是不是不適合交往,"小妹我剛剛看到

燈找愛音組一輩子的樂團

愛音屎屎尿尿 討價還價的



還開始拉時間線


一星期


一個月


第一次live前


最後直接說不知道能不能一輩子


開始嫌棄燈很沈重


該不會以後愛音交往或是結婚

也會這樣討價還價吧

一輩子都不能給的人 要怎組團

我很好奇

--
                       我女兒
      相信人的表情                被人騙的表情
       穿白色內褲                穿女僕裝的樣子

--
",I don't know what you are talking about.
[孤獨] 浦 島 虹 夏,"

經常做扁面蛸幹片的Nitari要在C103出這本

從兩名貝斯手手裡救了扁面蛸的浦島虹夏

被扁面蛸招待前往龍宮

在那裡見到了公主（陰角）
--
",I don't know what you are talking about.
[新聞] GBF、我英合作讓中國玩家痛罵辱華要棄坑,"
《碧藍幻想》和《我的英雄學院》合作讓中國玩家崩潰！痛罵Cygames故意辱華要棄坑

《碧藍幻想》（Granblue Fantasy，GBF）在上週末 12 月 23、24 兩日舉辦了「GRANBLUE
FANTASY Fes 2023」線下實體活動，帶來了許多遊戲新作的情報與更新內容。然而其中宣布
《碧藍幻想》和《我的英雄學院》合作後，卻讓許多中國大陸玩家直接崩潰喊棄坑，認為 C
ygames 是故意辱華。

先前《碧藍幻想》因為宣佈和 hololive 展開合作，讓不少中國網友崩潰過一次，因為過去
 hololive 曾經因為「龍心事件」辱華而全面退出中國，直到不久前才重新回到 Bilibili
上傳小劇場等影片。當然中國不少玩家都因此而退坑，也有些人認為只是單純合作宣傳，沒
有在遊戲中加入限定任務或是角色就還好。

然而在上週末舉辦的 GBF Fes 2023 上，《碧藍幻想》和《我的英雄學院》宣布合作，將會
有登場的可玩角色。然而這卻讓許多中國玩家瞬間集體崩潰，因為過去《我的英雄學院》就
被指出角色影射二戰 731 部隊而辱華，作者雖然回應這些都是過度聯想，但會尊重大家的
想法修改名稱。

先是 hololive，接著是《我的英雄學院》，許多中國玩家認為 Cygames 是故意的行為，其
中《碧藍幻想》中國玩家最大的聚集地 NGA 論壇，有不少網友發文各種問候 Cygames 母親
。但還是玩家依然身體很誠實，勸說大家繼續玩下去，就是千萬別課金，活到打到最低限度
就好，別做出會讓自己後悔的事情。

互相勸說，不一定要棄坑。

但有些玩家直接鐵了心要離開。（圖源：NGA）

還有一名中國 Coser 發文「之前的cos，被噁心到於是提前發了」，她提到自己看直播的當
下很崩潰，但原本要在年旦發的10週年賀圖都已經拍好，現在只能提早發出來。


--
",I don't know what you are talking about.
[蔚藍]抽總監簽名的飲料摺疊帶,"▎康青龍✕蔚藍檔案！好康加碼慶年終(1/15截止)

即日起拍下康青龍合作飲品或虛寶卡+UID
就有機會拿到總監們簽名的飲料摺疊帶喔~~




有總監們的簽名 還不錯

--
",I don't know what you are talking about.
[蔚藍] 變成了聖誕禮物的聖誕禮物,"
在寒冷的聖誕節和小狐狸窩在一起
感覺也挺不錯的嘛

e1Aw

--
",I don't know what you are talking about.
[問題] 全空第二騷是誰？,"全空第一騷毫無疑問是我們團長

辣個腿、辣個腰

那在我們團長之下

全空第二騷的人是誰啊？


我們勞淑有沒有機會啊？

--
",I don't know what you are talking about.
[Vtub] Peko會向聖誕老人要什麼禮物？,"昨天有個聖誕老人在發禮物

給一些齁樓成員

如果是Peko

會向這個聖誕老人

齁齁齁~要什麼禮物？


--
",I don't know what you are talking about.
[閒聊] 最新一集的名偵探柯南...(雷,"雷






防





防雷





好 其實跟主線沒什麼關係

現在看柯南的重點也不是推理

但姑且還是防雷一下



28歲的打工人A是某款卡牌遊戲的頂尖高手
但窮困的他買不起高價的卡片 只能用便宜的卡
但他越玩越能感覺到 便宜的卡終究是有極限的
於是鋌而走險 決定去偷卡片
但他在偷的時候被同好抓個正著
同好之後便以此把柄敲詐他
受不了的犯人最終起了殺心 把他給殺了


.
.
.


怎麼說呢...

意外的...心有戚戚焉

特別是發現便宜的卡有極限這回事

但我想說的是 小哥你該做的不是偷卡

而是去把那些炒價黃牛抓出來啊

在米花當黃牛應該有十分充足的條件成為被害人啊

搞不好你還不用自己動手欸 對吧


--
",I don't know what you are talking about.
Re: [閒聊] 白蓮教的教主是怎麼讓信眾義無反顧啊？,"※ 引述《yniori (偉恩咖肥)》之銘言：
: 如題
: 這是白蓮教的老大
: https://i.imgur.com/uime7EE.jpg
: 這個是白蓮教信眾
: https://i.imgur.com/vyc0w1m.jpg
: 那白蓮教的教主到底是怎麼讓這些白蓮教信眾幫他敲鑼打鼓宣傳造勢
: 甚至讓這些信眾義無反顧的拼一次啊？
這個問白蓮教紅巾軍的朱元璋最清楚

朱元璋建立明朝把元朝打回漠北老家時對元朝有一句評論
「元以寬失天下，朕救之以猛，小人但喜寬。朕觀元朝之失天下，失在太寬。」

這句話可不是在讚美元朝的統治很寬容喔

那是在說
一、社會綱常廢棄
元朝有法律，皇室也是逐漸吸收漢文化
但很多蒙古貴族根本不甩禮義廉恥這套，最後上行下效的結果是連漢人都被影響了

有法律卻沒有道德
這也就算了，不過連法律都失效的話……

二、朝廷吏治腐敗
元朝的法治過於混亂到有跟沒有是一樣的
一開始是不錯，但隨著時間過去就開始亂掉了

最後就是一堆收割韭菜的小人出現了
所以才有朱元璋說的「小人但喜寬」

三、國家缺乏信任機制
當國家愈來愈爛時，人民就開始抗議甚至反抗
但統治者不聽還硬是壓迫下去就只會無限循環下到徹底翻臉



這情況是不是似曾相識啊？

--
第七代火影
小智喝莎莉娜的水壺
第十五班

--
",I don't know what you are talking about.
Re: [閒聊] 台灣為何聖誕節炒不起來？,"※ 引述《Homura (德意志國防貓)》之銘言：
: 乳蹄
: 今天是聖誕節
: https://i.imgur.com/qK7cCMO.jpg
: 在日本是肯德基的大日
: ツイコミ(仮)@nanairo_perikan
: https://i.imgur.com/KHRNSb1.jpg
: 排隊買炸雞成為一種風氣
: https://i.imgur.com/WC8IJ8o.jpg

日本肯德基那時號最早宣傳是早在 1974 年的時候用聖誕與肯德基一起過開始
日本人很不清楚聖誕節是啥 日本本地基督教文化沒這麼深(不算駐軍部分)
還有許多日劇、早期漫畫的宣傳，這麼時有時無持續50年，日本聖誕節吃肯德基
以及草莓蛋糕幾乎成了基本認知


台灣大家唯一能相比的大概就是烤肉之於中秋節了，日本也是在月見的時候開始推月見
漢堡，那也是花了 20 年左右才慢慢變成那個樣子不然以前日本八月十五夜也沒特別
在吃什麼月見系列的東西的，至於這樣變化成功的商業文化是好是壞就看個人了
至少我比較喜歡吃烤肉而不是月餅跟柚子

--
",I don't know what you are talking about.
